generation,fitness,migration_step
1.0,50.60746221542698,0.0
2.0,50.60746221542698,0.0
3.0,50.60746221542698,0.0
4.0,50.60746221542698,0.0
5.0,50.60746221542698,0.0
6.0,50.60746221542698,0.0
7.0,50.60746221542698,0.0
8.0,50.60746221542698,0.0
9.0,50.60746221542698,0.0
10.0,50.60746221542698,0.0
11.0,50.60746221542698,0.0
12.0,50.60746221542698,0.0
13.0,50.60746221542698,0.0
14.0,50.60746221542698,0.0
15.0,50.60746221542698,0.0
16.0,50.60746221542698,0.0
17.0,50.60746221542698,0.0
18.0,50.60746221542698,0.0
19.0,50.60746221542698,0.0
20.0,50.60746221542698,0.0
21.0,50.60746221542698,0.0
22.0,50.60746221542698,0.0
23.0,65.18415837730488,0.0
24.0,71.19519355716216,0.0
25.0,80.17899902174156,0.0
26.0,80.17899902174156,0.0
27.0,80.17899902174156,0.0
28.0,80.17899902174156,0.0
29.0,114.53828429430469,0.0
30.0,114.53828429430469,0.0
31.0,114.53828429430469,0.0
32.0,146.44080781391733,0.0
33.0,146.44080781391733,0.0
34.0,146.44080781391733,0.0
35.0,146.44080781391733,0.0
36.0,155.76845776101632,0.0
37.0,155.76845776101632,0.0
38.0,155.76845776101632,0.0
39.0,155.76845776101632,0.0
40.0,163.92038785428517,0.0
41.0,165.88440550485606,0.0
42.0,165.88440550485606,0.0
43.0,165.88440550485606,0.0
44.0,165.88440550485606,0.0
45.0,165.88440550485606,0.0
46.0,165.88440550485606,0.0
47.0,165.88440550485606,0.0
48.0,165.88440550485606,0.0
49.0,165.88440550485606,0.0
50.0,165.88440550485606,0.0
51.0,165.88440550485606,0.0
52.0,165.88440550485606,0.0
53.0,165.88440550485606,0.0
54.0,165.88440550485606,0.0
55.0,165.88440550485606,0.0
56.0,165.88440550485606,0.0
57.0,165.88440550485606,0.0
58.0,165.88440550485606,0.0
59.0,165.88440550485606,0.0
60.0,165.88440550485606,0.0
61.0,165.88440550485606,0.0
62.0,165.88440550485606,0.0
63.0,165.88440550485606,0.0
64.0,165.88440550485606,0.0
65.0,165.93556400851693,0.0
66.0,165.93556400851693,0.0
67.0,165.93556400851693,0.0
68.0,165.93556400851693,0.0
69.0,165.93556400851693,0.0
70.0,165.93556400851693,0.0
1.0,165.93556400851693,1.0
2.0,178.50914828102012,1.0
3.0,189.8636009715086,1.0
4.0,189.8636009715086,1.0
5.0,189.8636009715086,1.0
6.0,189.8636009715086,1.0
7.0,189.8636009715086,1.0
8.0,189.8636009715086,1.0
9.0,189.8636009715086,1.0
10.0,189.8636009715086,1.0
11.0,189.8636009715086,1.0
12.0,189.8636009715086,1.0
13.0,189.8636009715086,1.0
14.0,189.8636009715086,1.0
15.0,189.8636009715086,1.0
16.0,189.8636009715086,1.0
17.0,189.8636009715086,1.0
18.0,189.8636009715086,1.0
19.0,189.8636009715086,1.0
20.0,189.8636009715086,1.0
