generation,fitness,migration_step
1.0,82.32706425283826,0.0
2.0,161.6253234751837,0.0
3.0,161.6253234751837,0.0
4.0,162.52360325888762,0.0
5.0,248.37492412870222,0.0
6.0,296.5325287861586,0.0
7.0,422.8616469797424,0.0
8.0,422.8616469797424,0.0
9.0,422.8616469797424,0.0
10.0,422.8616469797424,0.0
11.0,422.8616469797424,0.0
12.0,422.8616469797424,0.0
13.0,422.8616469797424,0.0
14.0,452.0778509260438,0.0
15.0,452.0778509260438,0.0
16.0,452.0778509260438,0.0
17.0,452.0778509260438,0.0
18.0,452.0778509260438,0.0
19.0,452.0778509260438,0.0
20.0,483.5742726241519,0.0
21.0,484.8257386345532,0.0
22.0,484.8257386345532,0.0
23.0,484.8257386345532,0.0
24.0,484.8257386345532,0.0
25.0,484.8257386345532,0.0
26.0,484.8257386345532,0.0
27.0,440.76659849141544,0.0
28.0,440.76659849141544,0.0
29.0,457.2949531088654,0.0
30.0,504.03086828366696,0.0
31.0,504.03086828366696,0.0
32.0,504.03086828366696,0.0
33.0,504.03086828366696,0.0
34.0,504.03086828366696,0.0
35.0,504.03086828366696,0.0
36.0,504.03086828366696,0.0
37.0,504.03086828366696,0.0
38.0,504.03086828366696,0.0
39.0,504.03086828366696,0.0
40.0,504.03086828366696,0.0
41.0,504.03086828366696,0.0
42.0,504.03086828366696,0.0
43.0,504.03086828366696,0.0
44.0,504.03086828366696,0.0
45.0,663.4537086444502,0.0
46.0,682.4189678032676,0.0
47.0,749.2878269732377,0.0
48.0,953.572646513782,0.0
49.0,953.572646513782,0.0
50.0,953.572646513782,0.0
51.0,953.572646513782,0.0
52.0,953.572646513782,0.0
53.0,953.572646513782,0.0
54.0,953.572646513782,0.0
55.0,953.572646513782,0.0
56.0,953.572646513782,0.0
57.0,953.572646513782,0.0
58.0,953.572646513782,0.0
59.0,953.572646513782,0.0
60.0,953.572646513782,0.0
61.0,953.572646513782,0.0
62.0,563.1219752861861,0.0
63.0,569.2827837169576,0.0
64.0,569.2827837169576,0.0
65.0,569.2827837169576,0.0
66.0,569.2827837169576,0.0
67.0,569.2827837169576,0.0
68.0,569.2827837169576,0.0
69.0,569.2827837169576,0.0
70.0,569.2827837169576,0.0
71.0,569.2827837169576,0.0
72.0,569.2827837169576,0.0
73.0,569.2827837169576,0.0
74.0,871.026908240967,0.0
75.0,871.026908240967,0.0
76.0,871.026908240967,0.0
77.0,871.026908240967,0.0
78.0,986.092714843696,0.0
79.0,986.092714843696,0.0
80.0,986.092714843696,0.0
81.0,986.092714843696,0.0
82.0,986.092714843696,0.0
83.0,986.092714843696,0.0
84.0,986.092714843696,0.0
85.0,986.092714843696,0.0
86.0,986.092714843696,0.0
87.0,986.092714843696,0.0
88.0,986.092714843696,0.0
89.0,986.092714843696,0.0
90.0,986.092714843696,0.0
91.0,986.092714843696,0.0
92.0,986.092714843696,0.0
93.0,1007.6939959767933,0.0
94.0,1007.6939959767933,0.0
95.0,1007.6939959767933,0.0
96.0,1077.4580872683334,0.0
97.0,1077.4580872683334,0.0
98.0,1077.4580872683334,0.0
99.0,1077.4580872683334,0.0
100.0,1077.4580872683334,0.0
1.0,2753.482485766284,1.0
2.0,2753.482485766284,1.0
3.0,2753.482485766284,1.0
4.0,2753.482485766284,1.0
5.0,2753.482485766284,1.0
6.0,2753.482485766284,1.0
7.0,2753.482485766284,1.0
8.0,2753.482485766284,1.0
9.0,2753.482485766284,1.0
10.0,2753.482485766284,1.0
11.0,2753.482485766284,1.0
12.0,2753.482485766284,1.0
13.0,2753.482485766284,1.0
14.0,2753.482485766284,1.0
15.0,2753.482485766284,1.0
16.0,2753.482485766284,1.0
17.0,2753.482485766284,1.0
18.0,2753.482485766284,1.0
19.0,2753.482485766284,1.0
20.0,2753.482485766284,1.0
21.0,2753.482485766284,1.0
22.0,2753.482485766284,1.0
23.0,2753.482485766284,1.0
24.0,2753.482485766284,1.0
25.0,2753.482485766284,1.0
26.0,2753.482485766284,1.0
27.0,2753.482485766284,1.0
28.0,2753.482485766284,1.0
29.0,2753.482485766284,1.0
30.0,2753.482485766284,1.0
31.0,2753.482485766284,1.0
32.0,2753.482485766284,1.0
33.0,2753.482485766284,1.0
34.0,2753.482485766284,1.0
35.0,2753.482485766284,1.0
36.0,2753.482485766284,1.0
37.0,2753.482485766284,1.0
38.0,2753.482485766284,1.0
39.0,2753.482485766284,1.0
40.0,2753.482485766284,1.0
41.0,2753.482485766284,1.0
42.0,2753.482485766284,1.0
43.0,2753.482485766284,1.0
44.0,2753.482485766284,1.0
45.0,2870.885820365561,1.0
46.0,2870.885820365561,1.0
47.0,2870.885820365561,1.0
48.0,2870.885820365561,1.0
49.0,2870.885820365561,1.0
50.0,2870.885820365561,1.0
51.0,2870.885820365561,1.0
52.0,2870.885820365561,1.0
53.0,2870.885820365561,1.0
54.0,2870.885820365561,1.0
55.0,2870.885820365561,1.0
56.0,2870.885820365561,1.0
57.0,2870.885820365561,1.0
58.0,2870.885820365561,1.0
59.0,2870.885820365561,1.0
60.0,2870.885820365561,1.0
61.0,2870.885820365561,1.0
62.0,2870.885820365561,1.0
63.0,2870.885820365561,1.0
64.0,2870.885820365561,1.0
65.0,2870.885820365561,1.0
66.0,2870.885820365561,1.0
67.0,2870.885820365561,1.0
68.0,2870.885820365561,1.0
69.0,2870.885820365561,1.0
70.0,2870.885820365561,1.0
71.0,2870.885820365561,1.0
72.0,2980.5885952571916,1.0
73.0,2980.5885952571916,1.0
74.0,2980.5885952571916,1.0
75.0,2980.5885952571916,1.0
76.0,3045.819923234386,1.0
77.0,3045.819923234386,1.0
78.0,3045.819923234386,1.0
79.0,3045.819923234386,1.0
80.0,3045.819923234386,1.0
81.0,3045.819923234386,1.0
82.0,3045.819923234386,1.0
83.0,3045.819923234386,1.0
84.0,3045.819923234386,1.0
85.0,3045.819923234386,1.0
86.0,3045.819923234386,1.0
87.0,3045.819923234386,1.0
88.0,3045.819923234386,1.0
89.0,3045.819923234386,1.0
90.0,3045.819923234386,1.0
91.0,3045.819923234386,1.0
92.0,3045.819923234386,1.0
93.0,3045.819923234386,1.0
94.0,3045.819923234386,1.0
95.0,3045.819923234386,1.0
96.0,3045.819923234386,1.0
97.0,3045.819923234386,1.0
98.0,3045.819923234386,1.0
99.0,3045.819923234386,1.0
100.0,3045.819923234386,1.0
