generation,fitness,migration_step
1.0,44.1652956435149,0.0
2.0,44.1652956435149,0.0
3.0,44.1652956435149,0.0
4.0,44.1652956435149,0.0
5.0,44.1652956435149,0.0
6.0,44.1652956435149,0.0
7.0,44.1652956435149,0.0
8.0,44.1652956435149,0.0
9.0,44.1652956435149,0.0
10.0,44.1652956435149,0.0
11.0,44.1652956435149,0.0
12.0,44.1652956435149,0.0
13.0,44.1652956435149,0.0
14.0,44.1652956435149,0.0
15.0,44.1652956435149,0.0
16.0,44.1652956435149,0.0
17.0,44.1652956435149,0.0
18.0,44.1652956435149,0.0
19.0,44.1652956435149,0.0
20.0,44.1652956435149,0.0
21.0,44.1652956435149,0.0
22.0,47.294572665768364,0.0
23.0,56.00468127155848,0.0
24.0,56.31001180602404,0.0
25.0,94.45855298541325,0.0
26.0,94.45855298541325,0.0
27.0,94.45855298541325,0.0
28.0,94.45855298541325,0.0
29.0,94.45855298541325,0.0
30.0,94.45855298541325,0.0
31.0,132.229774010023,0.0
32.0,132.229774010023,0.0
33.0,132.229774010023,0.0
34.0,132.229774010023,0.0
35.0,152.9064399572337,0.0
36.0,152.9064399572337,0.0
37.0,152.9064399572337,0.0
38.0,152.9064399572337,0.0
39.0,152.9064399572337,0.0
40.0,152.9064399572337,0.0
41.0,159.7395449609718,0.0
42.0,159.7395449609718,0.0
43.0,159.7395449609718,0.0
44.0,159.7395449609718,0.0
45.0,159.7395449609718,0.0
46.0,159.7395449609718,0.0
47.0,159.7395449609718,0.0
48.0,159.7395449609718,0.0
49.0,159.7395449609718,0.0
50.0,159.7395449609718,0.0
1.0,166.20846492580955,1.0
2.0,166.20846492580955,1.0
3.0,166.20846492580955,1.0
4.0,166.20846492580955,1.0
5.0,166.20846492580955,1.0
6.0,166.20846492580955,1.0
7.0,166.20846492580955,1.0
8.0,166.20846492580955,1.0
9.0,166.20846492580955,1.0
10.0,166.20846492580955,1.0
11.0,166.20846492580955,1.0
12.0,166.20846492580955,1.0
13.0,166.20846492580955,1.0
14.0,166.20846492580955,1.0
15.0,166.20846492580955,1.0
16.0,166.20846492580955,1.0
17.0,166.20846492580955,1.0
18.0,166.20846492580955,1.0
19.0,166.20846492580955,1.0
20.0,166.20846492580955,1.0
21.0,166.20846492580955,1.0
22.0,166.20846492580955,1.0
23.0,166.20846492580955,1.0
24.0,166.20846492580955,1.0
25.0,166.20846492580955,1.0
26.0,166.20846492580955,1.0
27.0,162.54253190930302,1.0
28.0,163.20277241428968,1.0
