generation,fitness,migration_step
1.0,0.388045288811226,0.0
2.0,23.376384566652355,0.0
3.0,23.611053559017257,0.0
4.0,25.595460886298614,0.0
5.0,47.20261306254643,0.0
6.0,99.91163526930752,0.0
7.0,111.05678476454308,0.0
8.0,112.83480224444233,0.0
9.0,114.05404890749142,0.0
10.0,114.05404890749142,0.0
11.0,116.24160946267982,0.0
12.0,116.24160946267982,0.0
13.0,116.24160946267982,0.0
14.0,118.9102537059972,0.0
15.0,119.16721817712248,0.0
16.0,119.37547992787113,0.0
17.0,123.30847646080352,0.0
18.0,123.30847646080352,0.0
19.0,130.10045775592783,0.0
20.0,135.72262962689717,0.0
21.0,135.75074579511187,0.0
22.0,137.538278745714,0.0
23.0,137.5388533821503,0.0
24.0,137.5388533821503,0.0
25.0,137.5388533821503,0.0
26.0,137.54165174299774,0.0
27.0,137.54165174299774,0.0
28.0,137.75153320743067,0.0
29.0,137.75153320743067,0.0
30.0,137.75153320743067,0.0
31.0,138.1946726556059,0.0
32.0,138.1946726556059,0.0
33.0,138.1946726556059,0.0
34.0,140.2884253323058,0.0
35.0,142.49601175348218,0.0
36.0,142.49601175348218,0.0
37.0,142.49601175348218,0.0
38.0,142.49601175348218,0.0
39.0,142.49601175348218,0.0
40.0,142.49601175348218,0.0
41.0,142.49601175348218,0.0
42.0,142.49601175348218,0.0
43.0,142.49601175348218,0.0
44.0,142.49601175348218,0.0
45.0,142.49601175348218,0.0
46.0,142.49601175348218,0.0
47.0,142.49601175348218,0.0
48.0,142.49601175348218,0.0
49.0,142.49601175348218,0.0
50.0,142.49601175348218,0.0
51.0,142.49601175348218,0.0
52.0,142.49601175348218,0.0
53.0,142.49601175348218,0.0
54.0,142.49601175348218,0.0
55.0,142.49601175348218,0.0
56.0,142.49601175348218,0.0
57.0,142.49601175348218,0.0
58.0,142.49601175348218,0.0
59.0,142.49601175348218,0.0
60.0,142.49601175348218,0.0
61.0,142.49601175348218,0.0
62.0,142.49601175348218,0.0
63.0,142.49601175348218,0.0
64.0,142.49601175348218,0.0
65.0,142.49601175348218,0.0
66.0,142.49601175348218,0.0
67.0,142.49601175348218,0.0
68.0,142.49601175348218,0.0
69.0,142.49601175348218,0.0
70.0,142.49601175348218,0.0
71.0,142.49601175348218,0.0
72.0,142.49601175348218,0.0
73.0,142.49601175348218,0.0
74.0,142.49601175348218,0.0
75.0,142.49601175348218,0.0
76.0,142.49601175348218,0.0
77.0,142.49601175348218,0.0
78.0,142.49601175348218,0.0
79.0,142.49601175348218,0.0
80.0,142.49601175348218,0.0
81.0,142.49601175348218,0.0
82.0,142.49601175348218,0.0
83.0,142.49601175348218,0.0
84.0,142.49601175348218,0.0
85.0,142.49601175348218,0.0
86.0,142.49601175348218,0.0
87.0,142.49601175348218,0.0
88.0,142.49601175348218,0.0
89.0,142.49601175348218,0.0
90.0,142.49601175348218,0.0
91.0,142.49601175348218,0.0
92.0,142.49601175348218,0.0
93.0,142.49601175348218,0.0
94.0,142.49601175348218,0.0
95.0,142.49601175348218,0.0
96.0,142.49601175348218,0.0
97.0,142.49601175348218,0.0
98.0,142.49601175348218,0.0
99.0,142.49601175348218,0.0
100.0,142.49601175348218,0.0
1.0,142.49601175348218,1.0
2.0,140.7991794639106,1.0
3.0,140.7991794639106,1.0
4.0,140.7991794639106,1.0
5.0,140.7991794639106,1.0
6.0,140.7991794639106,1.0
7.0,140.7991794639106,1.0
8.0,140.7991794639106,1.0
9.0,140.7991794639106,1.0
10.0,140.7991794639106,1.0
11.0,140.7991794639106,1.0
12.0,138.8004585879675,1.0
13.0,138.8004585879675,1.0
14.0,138.8004585879675,1.0
15.0,138.8004585879675,1.0
16.0,138.8004585879675,1.0
17.0,138.8004585879675,1.0
18.0,138.8004585879675,1.0
19.0,138.8004585879675,1.0
20.0,138.8004585879675,1.0
21.0,138.8004585879675,1.0
22.0,138.8004585879675,1.0
23.0,138.8004585879675,1.0
24.0,138.8004585879675,1.0
25.0,138.8004585879675,1.0
26.0,138.8004585879675,1.0
27.0,138.8004585879675,1.0
28.0,138.8004585879675,1.0
29.0,138.8004585879675,1.0
30.0,138.8004585879675,1.0
31.0,141.1752826340718,1.0
32.0,141.1752826340718,1.0
33.0,141.1752826340718,1.0
34.0,141.1752826340718,1.0
35.0,141.1752826340718,1.0
36.0,141.1752826340718,1.0
37.0,141.1752826340718,1.0
38.0,140.4984132439053,1.0
39.0,140.4984132439053,1.0
40.0,140.4984132439053,1.0
41.0,140.4984132439053,1.0
42.0,140.4984132439053,1.0
43.0,140.4984132439053,1.0
44.0,140.4984132439053,1.0
45.0,141.6869021060325,1.0
46.0,141.6869021060325,1.0
47.0,141.6869021060325,1.0
48.0,141.6869021060325,1.0
49.0,141.6869021060325,1.0
50.0,141.6869021060325,1.0
51.0,141.6869021060325,1.0
52.0,141.6869021060325,1.0
53.0,141.6869021060325,1.0
54.0,141.6869021060325,1.0
55.0,141.6869021060325,1.0
56.0,141.6869021060325,1.0
57.0,141.6869021060325,1.0
58.0,141.6869021060325,1.0
59.0,141.6869021060325,1.0
60.0,141.6869021060325,1.0
61.0,169.53278540363303,1.0
62.0,169.53278540363303,1.0
63.0,169.53278540363303,1.0
64.0,169.53278540363303,1.0
65.0,141.60942888093263,1.0
66.0,141.60942888093263,1.0
67.0,141.60942888093263,1.0
68.0,141.60942888093263,1.0
69.0,141.60942888093263,1.0
70.0,141.60942888093263,1.0
71.0,141.60942888093263,1.0
72.0,141.60942888093263,1.0
73.0,141.60942888093263,1.0
74.0,141.60942888093263,1.0
75.0,142.90354777532718,1.0
76.0,142.90354777532718,1.0
77.0,142.90354777532718,1.0
78.0,142.90354777532718,1.0
79.0,142.90354777532718,1.0
80.0,142.90354777532718,1.0
81.0,142.90354777532718,1.0
82.0,142.90354777532718,1.0
83.0,142.90354777532718,1.0
84.0,142.90354777532718,1.0
85.0,142.90354777532718,1.0
86.0,142.90354777532718,1.0
87.0,142.90354777532718,1.0
88.0,142.90354777532718,1.0
89.0,142.90354777532718,1.0
90.0,142.90354777532718,1.0
91.0,142.90354777532718,1.0
92.0,142.90354777532718,1.0
93.0,142.90354777532718,1.0
94.0,142.90354777532718,1.0
95.0,142.90354777532718,1.0
96.0,142.90354777532718,1.0
97.0,142.90354777532718,1.0
98.0,142.90354777532718,1.0
99.0,142.90354777532718,1.0
100.0,142.90354777532718,1.0
